Icon Name,Variant,URL
Conflict,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Conflict.svg
Coordinated-assessement,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Coordinated-assessement.svg
Coordinated-assessement,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Coordinated-assessement.svg
Coordinated-assessement,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Coordinated-assessement.svg
Coordination,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Coordination.svg
Coordination,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Coordination.svg
Coordination,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Coordination.svg
Copy,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Copy.svg
Copy,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Copy.svg
Copy,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Copy.svg
Country,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Country.svg
Country,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Country.svg
Country,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Country.svg
COVID-19,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/COVID-19.svg
COVID-19,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/COVID-19.svg
COVID-19,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/COVID-19.svg
CSV-file,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/CSV-file.svg
